216.58.201.98;10.0.2.15;443;33640;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:51.600592000 CEST
10.0.2.15;172.217.23.194;58579;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;pubads.g.doubleclick.net;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:52.467370000 CEST
172.217.23.194;10.0.2.15;443;58579;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:52.488156000 CEST
10.0.2.15;172.217.23.194;58580;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;pubads.g.doubleclick.net;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:52.539516000 CEST
172.217.23.194;10.0.2.15;443;58580;2;0x00000303;49195;23,65281,11,16;;;0;Oct 20, 2019 16:14:52.544280000 CEST
10.0.2.15;104.127.61.74;39242;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;sb.scorecardresearch.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:52.611863000 CEST
104.127.61.74;10.0.2.15;443;39242;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:52.616753000 CEST
10.0.2.15;216.58.201.97;33748;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;tpc.googlesyndication.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.083824000 CEST
216.58.201.97;10.0.2.15;443;33748;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.104521000 CEST
10.0.2.15;216.58.201.67;50900;443;1;0x00000303;6682,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,65281,0,23,35,13,5,18,16,11,10,27,31354;www.gstatic.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.336443000 CEST
216.58.201.67;10.0.2.15;443;50900;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.355944000 CEST
10.0.2.15;172.217.23.202;53498;443;1;0x00000303;2570,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,65281,0,23,35,13,5,18,16,11,10,27,23130;fonts.googleapis.com;0x00000a0a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.475452000 CEST
172.217.23.202;10.0.2.15;443;53498;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.494425000 CEST
10.0.2.15;216.58.201.97;33751;443;1;0x00000303;35466,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,65281,0,23,35,13,5,18,16,11,10,27,6682;tpc.googlesyndication.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.508514000 CEST
10.0.2.15;216.58.201.97;33752;443;1;0x00000303;10794,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,65281,0,23,35,13,5,18,16,11,10,27,35466;tpc.googlesyndication.com;0x0000dada,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.509768000 CEST
10.0.2.15;216.58.201.97;33753;443;1;0x00000303;10794,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,65281,0,23,35,13,5,18,16,11,10,27,43690;tpc.googlesyndication.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.512475000 CEST
10.0.2.15;216.58.201.97;33754;443;1;0x00000303;14906,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,27,19018;tpc.googlesyndication.com;0x0000caca,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.514039000 CEST
10.0.2.15;216.58.201.97;33755;443;1;0x00000303;64250,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,65281,0,23,35,13,5,18,16,11,10,27,14906;tpc.googlesyndication.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.515702000 CEST
216.58.201.97;10.0.2.15;443;33751;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.528703000 CEST
216.58.201.97;10.0.2.15;443;33752;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.530290000 CEST
216.58.201.97;10.0.2.15;443;33753;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.533553000 CEST
216.58.201.97;10.0.2.15;443;33754;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.534897000 CEST
216.58.201.97;10.0.2.15;443;33755;2;0x00000303;49199;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:53.535753000 CEST
10.0.2.15;54.72.177.155;47470;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;events.appsflyer.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:53.932032000 CEST
54.72.177.155;10.0.2.15;443;47470;2;0x00000303;49199;65281,11;;;0,1,2;Oct 20, 2019 16:14:53.968800000 CEST
10.0.2.15;52.94.216.48;56892;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;aax-eu.amazon-adsystem.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:54.243742000 CEST
52.94.216.48;10.0.2.15;443;56892;2;0x00000303;49199;65281,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:54.278916000 CEST
10.0.2.15;216.58.201.98;33654;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;googleads.g.doubleclick.net;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:54.363983000 CEST
216.58.201.98;10.0.2.15;443;33654;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:54.383829000 CEST
10.0.2.15;172.217.23.194;58593;443;1;0x00000303;27242,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;64250,65281,0,23,35,13,5,18,16,11,10,27,19018;pubads.g.doubleclick.net;0x00001a1a,0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:55.171756000 CEST
172.217.23.194;10.0.2.15;443;58593;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:55.191295000 CEST
10.0.2.15;172.217.23.194;58594;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;pubads.g.doubleclick.net;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:55.218751000 CEST
172.217.23.194;10.0.2.15;443;58594;2;0x00000303;49195;23,65281,11,35,16;;;0;Oct 20, 2019 16:14:55.238385000 CEST
10.0.2.15;23.38.81.66;48029;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;vortex.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:56.046606000 CEST
23.38.81.66;10.0.2.15;443;48029;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:56.052859000 CEST
10.0.2.15;13.32.113.223;48828;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.mapbox.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:56.805945000 CEST
13.32.113.223;10.0.2.15;443;48828;2;0x00000303;49199;0,65281,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:56.813548000 CEST
10.0.2.15;184.51.9.204;52203;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;api.accuweather.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:56.990724000 CEST
184.51.9.204;10.0.2.15;443;52203;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2;Oct 20, 2019 16:14:57.000027000 CEST
10.0.2.15;13.32.113.223;48830;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;api.mapbox.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:57.019465000 CEST
13.32.113.223;10.0.2.15;443;48830;2;0x00000303;49199;65281,16;;;;Oct 20, 2019 16:14:57.024373000 CEST
10.0.2.15;13.32.113.223;48831;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;api.mapbox.com;0x0000001d,0x00000017,0x00000018;0;Oct 20, 2019 16:14:57.263303000 CEST
13.32.113.223;10.0.2.15;443;48831;2;0x00000303;49199;65281,16;;;;Oct 20, 2019 16:14:57.268751000 CEST
